158.802, 431.131
322.36, 458.653
68.119, 526.325
37.233, 475.322
14.529, 435.826
9.709, 391.665
14.84, 342.528
13.285, 284.372
24.014, 229.638
36.454, 181.434
416.706, 95.571
69.576, 145.669
100.364, 115.192
145.769, 75.385
200.193, 56.725
255.861, 56.725
310.596, 57.036
367.508, 78.184
464.848, 120.79
511.497, 146.913
546.64, 190.763
575.562, 242.077
590.889, 292.458
584.514, 355.376
569.187, 407.837
553.859, 460.297
540.709, 512.758
507.143, 558.979
464.848, 601.586
429.706, 637.661
363.465, 663.824
384.612, 631.285
403.583, 593.189
416.333, 556.181
430.017, 516.995
436.393, 475.322
423.642, 431.161
397.363, 400.373
369.062, 376.737
347.604, 345.638
353.979, 299.3
373.572, 261.556
333.298, 267.932
283.539, 258.291
270.789, 301.166
235.957, 330.088
180.29, 336.464
133.33, 330.088
95.388, 342.839
89.013, 389.799
76.204, 436.137
69.829, 474.389
69.829, 574.529
82.58, 614.336
104.407, 644.503
137.062, 681.511
166.917, 715.93
206.724, 725.726
255.288, 715.93
297.534, 694.262
332.054, 681.511
291.159, 612.431
140.535, 586.992
174.381, 618.807
216.62, 639.629
254.617, 633.254
187.131, 606.961
230.981, 618.807
216.62, 600.586
261.459, 503.778
240.933, 555.559
198.016, 549.184
175.954, 531.923
198.016, 503.778
210.767, 444.067
322.36, 458.684
365.479, 466.303
284.465, 457.095
193.118, 440.358
159.331, 431.53
124.766, 425.155
102.757, 377.949
213.225, 423.19
275.688, 444.164
399.795, 434.075
364.398, 407.431
288.439, 407.431
333.31, 421.325
174.07, 383.579
152.082, 389.955
